序号,名称,挂牌时间,小区,区县,街区,街道,环路,总价,单价,面积,年代,户型,楼型,朝向,装修,URL
1472,百步龙庭精装通透三房拎包入住两证五年,2016-12-21,百步龙庭,江岸,百步亭,, 一至二环,210,15124,138.86,2006年建/板楼,3室2厅,高楼层/共11层,南,其他,http://wh.lianjia.com/ershoufang/104100277526.html
1473,泰然南湖玫瑰湾精装修三房称心出售,2016-12-21,泰然南湖玫瑰湾二期,洪山,珞狮南路,, 二至三环,180,18874,95.37,2010年建/板楼,3室2厅,低楼层/共30层,南北,其他,http://wh.lianjia.com/ershoufang/104100277517.html
1474,绿地国际金融城精装两房拎包即可入住,2016-12-21,绿地国际金融城一期,武昌,滨江商务区,, 一至二环,270,31919,84.59,2013年建/板塔结合,2室2厅,中楼层/共31层,南,精装,http://wh.lianjia.com/ershoufang/104100277514.html
1475,长城坐标城2室2厅170万,2016-12-21,长城坐标城,洪山,关山大道,, 二至三环,170,18280,93,2005年建/塔楼,2室2厅,中楼层/共23层,南,其他,http://wh.lianjia.com/ershoufang/104100277488.html
1476,一医旁蓝山城市老证朝南可改两房,2016-12-21,蓝山城市中心,硚口,汉正街,, ,105,16683,62.94,2006年建/塔楼,1室1厅,中楼层/共20层,南,精装,http://wh.lianjia.com/ershoufang/104100277432.html
1477,荣东温馨大两房后期费用低,2016-12-21,荣东社区,硚口,武胜路,, 一至二环,170,18282,92.99,1995年建/板楼,3室2厅,中楼层/共6层,东西,其他,http://wh.lianjia.com/ershoufang/104100277429.html
1478,浩海小区一梯两户大2房楼顶搭建2房出租即买即赚,2016-12-21,浩海小区,江汉,杨汊湖,, 二至三环,110,12791,86,1998年建/板楼,2室1厅,高楼层/共8层,南,其他,http://wh.lianjia.com/ershoufang/104100277396.html
1479,光谷华乐苑大3房两证满五年交通便利,2016-12-21,华乐苑,洪山,体院虎泉,, 二至三环,175,13979,125.19,2000年建/塔楼,3室2厅,高楼层/共6层,南北,其他,http://wh.lianjia.com/ershoufang/104100277383.html
1480,经典户型设计，合理空间布局，内外兼修的品格建筑,2016-12-21,常青花园四小区,东西湖,常青花园,, 二至三环,165,15567,106,2000年建/板楼,3室2厅,低楼层/共5层,南北,其他,http://wh.lianjia.com/ershoufang/104100277380.html
1481,逸景南湾2室2厅150万,2016-12-21,逸景南湾,洪山,珞狮南路,, 二至三环,150,17398,86.22,2012年建/板楼,2室2厅,低楼层/共27层,西南,其他,http://wh.lianjia.com/ershoufang/104100277365.html
1482,中力名居3室2厅255万,2016-12-21,中力名居,洪山,徐东,, 一至二环,255,19596,130.13,2006年建/板楼,3室2厅,低楼层/共11层,南北,其他,http://wh.lianjia.com/ershoufang/104100277363.html
1483,市民之家晋合金桥世家通透电梯大三房中间楼层带车位,2016-12-21,晋合金桥世家,江岸,后湖,, 二至三环,360,24325,148,2013年建/板楼,3室2厅,中楼层/共33层,南北,其他,http://wh.lianjia.com/ershoufang/104100277326.html
1484,博海名居精装修南北通透两房拎包入住诚心出售！,2016-12-21,博海名居,江汉,杨汊湖,, 二至三环,157,16156,97.18,2007年建/板楼,2室1厅,低楼层/共17层,东南,其他,http://wh.lianjia.com/ershoufang/104100277306.html
1485,后湖华庭交通便利配套成熟毛坯复式楼带30平露台,2016-12-21,后湖华庭,江岸,后湖,, 二至三环,168,11915,141,2003年建/板楼,2室2厅,高楼层/共6层,南北,其他,http://wh.lianjia.com/ershoufang/104100277299.html
1486,罗家庄社区老证纯毛坯~好楼层,2016-12-21,罗家庄社区,江岸,黄埔永清,, 二至三环,75,12932,58,2000年建/塔楼,2室1厅,中楼层/共7层,南,其他,http://wh.lianjia.com/ershoufang/104100277279.html
1487,保利心语七期毛坯三房南北通透有钥匙看房方便,2016-12-21,保利心语七期,洪山,珞狮南路,, 二至三环,152,16965,89.6,2013年建/板塔结合,3室2厅,低楼层/共24层,南北,其他,http://wh.lianjia.com/ershoufang/104100277265.html
1488,低楼层居家舒适空间感足交通便利,2016-12-21,秦园居小区,洪山,徐家棚,, ,300,15946,188.14,2003年建/板塔结合,3室2厅,低楼层/共8层,南,精装,http://wh.lianjia.com/ershoufang/104100277243.html
1489,水岸星城小三房精装修客厅出阳台拎包入住,2016-12-21,水岸星城,洪山,沙湖,, 二至三环,235,23092,101.77,2008年建/板楼,2室2厅,低楼层/共32层,南西,其他,http://wh.lianjia.com/ershoufang/104100277213.html
1490,2-2-1-178.02m²130万,2016-12-21,保利公园九里,洪山,老南湖,, 二至三环,128,16354,78.27,2015年建/板楼,2室2厅,低楼层/共34层,南北,其他,http://wh.lianjia.com/ershoufang/104100277203.html
1491,圣诚阳光丽景2室2厅75万,2016-12-21,圣诚阳光丽景,江岸,百步亭,, 二至三环,75,13637,55,2014年建/塔楼,2室2厅,中楼层/共18层,东西,其他,http://wh.lianjia.com/ershoufang/104100277197.html
1492,升华现代城2证满2年精装修家具家电全送高楼层,2016-12-21,升华现代城,东西湖,金银湖,, 三至四环,105,11161,94.08,2011年建/板楼,2室2厅,中楼层/共16层,南,其他,http://wh.lianjia.com/ershoufang/104100277187.html
1493,4-2-1-2130.47m²185万,2016-12-21,松涛苑B区,洪山,老南湖,, 一至二环,185,14180,130.47,1999年建/板楼,4室2厅,高楼层/共6层,南北,其他,http://wh.lianjia.com/ershoufang/104100277184.html
1494,电梯房中间楼层，采光充足，中等装修！,2016-12-21,军威苑小区,洪山,老南湖,, 二至三环,110,13004,84.59,2010年建/板楼,2室2厅,低楼层/共18层,南,其他,http://wh.lianjia.com/ershoufang/104100277162.html
1495,橡树湾一期3室2厅245万,2016-12-21,橡树湾一期,武昌,徐东,, 一至二环,245,25521,96,2013年建/板塔结合,3室2厅,中楼层/共33层,南,其他,http://wh.lianjia.com/ershoufang/104100277142.html
1496,二环内品质社区朝南三房光线充足,2016-12-21,凯旋名邸,洪山,武昌火车站,, 二至三环,210,19000,110.53,2009年建/板楼,3室2厅,低楼层/共22层,南,毛坯,http://wh.lianjia.com/ershoufang/104100277141.html
1497,南北通透样板间特色装修视野开阔,2016-12-21,保利心语一期,洪山,珞狮南路,, 二至三环,270,17894,150.89,2009年建/板楼,5室2厅,高楼层/共24层,南北,精装,http://wh.lianjia.com/ershoufang/104100277137.html
1498,王家墩地铁口同成广场正规三房户型方正,2016-12-21,同成广场,江汉,武广万松园,, 一至二环,187,13956,134,2000年建/板楼,3室1厅,中楼层/共29层,东北,其他,http://wh.lianjia.com/ershoufang/104100277092.html
1499,金盾花园，精装三房，户型周正，楼层好。,2016-12-21,金盾花园,江汉,常青路,, 一至二环,187,13956,134,2001年建/塔楼,3室2厅,低楼层/共12层,南北,其他,http://wh.lianjia.com/ershoufang/104100277016.html
1500,宝业光谷丽都毛坯两房朝南采光好,2016-12-21,宝业光谷丽都,洪山,中南财大,, 二至三环,128,14320,89.39,2015年建/板楼,2室2厅,低楼层/共18层,南,平层/其他,http://wh.lianjia.com/ershoufang/104100277003.html
1501,金盾花园，精装三房，户型周正，楼层好。,2016-12-21,金盾花园,江汉,常青路,, 一至二环,187,13956,134,2001年建/塔楼,3室2厅,低楼层/共12层,南北,其他,http://wh.lianjia.com/ershoufang/104100277016.html
1502,宝业光谷丽都毛坯两房朝南采光好,2016-12-21,宝业光谷丽都,洪山,中南财大,, 二至三环,128,14320,89.39,2015年建/板楼,2室2厅,低楼层/共18层,南,平层/其他,http://wh.lianjia.com/ershoufang/104100277003.html
1503,雄楚大道华亚新领地两房南向有钥匙115万,2016-12-21,华亚新领地,武昌,武昌火车站,, 一至二环,115,16648,69.08,2013年建/塔楼,2室1厅,中楼层/共30层,南,其他,http://wh.lianjia.com/ershoufang/104100276962.html
1504,绿地国际金融城双卧朝南南北通透精装三房看房方便,2016-12-21,绿地国际金融城一期,武昌,滨江商务区,, 一至二环,550,29106,188.97,2013年建/板塔结合,3室2厅,低楼层/共48层,南北,精装,http://wh.lianjia.com/ershoufang/104100276951.html
1505,英特小区4室2厅260万,2016-12-21,英特小区,洪山,沙湖,, 二至三环,260,15133,171.81,2001年建/塔楼,4室2厅,高楼层/共7层,南北,其他,http://wh.lianjia.com/ershoufang/104100276948.html
1506,此房待办证精装修可以直接入住视野开阔配套齐全,2016-12-21,汉阳人信汇二期天悦,汉阳,龙阳大道,, 二至三环,190,16102,118,2014年建/板楼,3室2厅,中楼层/共33层,南北,其他,http://wh.lianjia.com/ershoufang/104100276947.html
1507,观湖铂金公寓1室0厅81万,2016-12-21,观湖铂金公寓,江岸,台北香港路,, 一至二环,81,15158,53.44,2007年建/塔楼,1室0厅,中楼层/共24层,东,其他,http://wh.lianjia.com/ershoufang/104100276945.html
1508,美城青芷园精装三房楼层采光好拎包入住,2016-12-21,美城清芷园,武昌,沙湖,, 一环内,250,19686,127,2005年建/板楼,3室2厅,中楼层/共6层,南北,其他,http://wh.lianjia.com/ershoufang/104100276916.html
1509,房子两证两年无贷款交易流程简单方便,2016-12-21,洪福添美家园,洪山,民族大道,, 二至三环,103,16170,63.7,2004年建/塔楼,2室1厅,高楼层/共21层,东南,其他,http://wh.lianjia.com/ershoufang/104100276912.html
1510,不限购光谷地铁口新尚都酒店公寓商住两用小户型,2016-12-21,世界城广场新尚都酒店公寓,洪山,鲁巷,, 二至三环,70,13053,53.63,2012年建/板塔结合,1室0厅,高楼层/共29层,北,其他,http://wh.lianjia.com/ershoufang/104100276893.html
1511,七里晴川3室2厅162万,2016-12-21,七里晴川,汉阳,七里庙,, 二至三环,162,15141,107,2005年建/板楼,3室2厅,高楼层/共6层,南北,其他,http://wh.lianjia.com/ershoufang/104100276834.html
1512,锦湖金利花园二期2室1厅108万,2016-12-21,锦湖金利花园二期,江岸,堤角,, 二至三环,108,14026,77,2012年建/塔楼,2室1厅,中楼层/共18层,南,其他,http://wh.lianjia.com/ershoufang/104100276832.html
1513,花西公寓2室2厅113万,2016-12-21,花西公寓,江岸,竹叶山花桥,, 一至二环,113,12952,87.25,2001年建/塔楼,2室2厅,中楼层/共8层,南,其他,http://wh.lianjia.com/ershoufang/104100276831.html
1514,顶楼复式两证满二南北通透户型好,2016-12-21,泰跃金河,东西湖,金银湖,, 三至四环,96,11300,84.96,2006年建/塔楼,4室2厅,高楼层/共6层,南北,其他,http://wh.lianjia.com/ershoufang/104100276816.html
1515,光谷珞喻路主干道双塘小区两居室交通便利,2016-12-21,双塘小区,洪山,鲁巷,, 二至三环,170,19902,85.42,1998年建/塔楼,2室1厅,高楼层/共7层,南,其他,http://wh.lianjia.com/ershoufang/104100276814.html
1516,南北通透三房户型方正简单装修采光充足,2016-12-21,融侨华府,武昌,三层楼,, 一环内,380,27742,136.98,2009年建/板楼,3室2厅,低楼层/共32层,南北,其他,http://wh.lianjia.com/ershoufang/104100276810.html
1517,南航小区正规2居室采光好总价低,2016-12-21,南航小区,江汉,长港路,, 二至三环,78,10598,73.6,1998年建/板楼,2室2厅,高楼层/共7层,南,其他,http://wh.lianjia.com/ershoufang/104100276792.html
1518,新精装地铁3房满五年居家好房,2016-12-21,保利华都,洪山,体院虎泉,, 二至三环,268,22712,118,2012年建/板楼,3室2厅,高楼层/共29层,南北,精装,http://wh.lianjia.com/ershoufang/104100276777.html
1519,两证已办了两年，采光充足，业主换房诚意出售.,2016-12-21,光谷新世界汇贤邸,洪山,关山大道,, 二至三环,210,22630,92.8,2014年建/板楼,2室2厅,低楼层/共18层,南,其他,http://wh.lianjia.com/ershoufang/104100276773.html
1520,蓝色天际3室2厅175万,2016-12-21,蓝色天际,江汉,唐家墩,, 一至二环,175,14071,124.37,2003年建/板楼,3室2厅,高楼层/共7层,南北,其他,http://wh.lianjia.com/ershoufang/104100276756.html
1521,房东诚意出售，地处繁华，朝南，户型好，采光好,2016-12-21,钻石大厦,江岸,前进江汉,, 一至二环,94,14658,64.13,2001年建/塔楼,2室1厅,中楼层/共17层,东南南,其他,http://wh.lianjia.com/ershoufang/104100276747.html
1522,百姓之村2环内成熟小区精装3房，好爽业主诚心出售。,2016-12-21,百姓之春,硚口,古田,, 一至二环,136,13568,100.24,2006年建/板楼,3室2厅,高楼层/共11层,南北,其他,http://wh.lianjia.com/ershoufang/104100276741.html
1523,朝南户型纯毛坯明厨明卫采光好诚心出售,2016-12-21,葛洲坝国际广场,江汉,西北湖,, 一至二环,205,20785,98.63,2012年建/板楼,2室2厅,低楼层/共32层,南,其他,http://wh.lianjia.com/ershoufang/104100276708.html
1524,两证满两年卧室朝东客厅朝南出阳台,2016-12-21,时尚欧洲,武昌,徐东,, 一至二环,250,16944,147.55,2004年建/塔楼,3室2厅,高楼层/共15层,南,其他,http://wh.lianjia.com/ershoufang/104100276694.html
1525,九龙井小区，黄鹤楼下，面积宽敞，交通便利,2016-12-20,九龙井小区,武昌,首义,, 一至二环,174,14990,116.08,1996年建/板楼,3室2厅,高楼层/共8层,东,其他,http://wh.lianjia.com/ershoufang/104100276682.html
1526,钟家村海山观江楼中装大两房看房方便有钥匙,2016-12-20,海山观江楼,汉阳,钟家村,, 一环内,250,19648,127.24,2004年建/塔楼,2室2厅,高楼层/共19层,南北,其他,http://wh.lianjia.com/ershoufang/104100276675.html
1527,此房两证两年，后期税费低。看房方便，业主诚售。,2016-12-20,张家湾小区,武昌,水果湖,, 一至二环,290,25829,112.28,1994年建/板楼,3室2厅,高楼层/共6层,南北,其他,http://wh.lianjia.com/ershoufang/104100276577.html
1528,卧龙丽景湾三期3室2厅145万,2016-12-20,卧龙丽景湾三期,东西湖,金银湖,, 三至四环,145,14433,100.47,2013年建/塔楼,3室2厅,低楼层/共31层,南,其他,http://wh.lianjia.com/ershoufang/104100276569.html
1529,沙湖边沙湖公馆南向两房精装修诚心出售,2016-12-20,沙湖公馆,武昌,沙湖,, 一至二环,240,25454,94.29,2012年建/板塔结合,2室2厅,低楼层/共33层,南,其他,http://wh.lianjia.com/ershoufang/104100276549.html
1530,通透四房，好楼层，家里高档家具家电全送,2016-12-20,华润置地中央公园二期,汉阳,琴台大道,, 一环内,330,20887,158,2013年建/板塔结合,4室2厅,中楼层/共26层,南北,其他,http://wh.lianjia.com/ershoufang/104100276536.html
1531,三眼桥简朴寨穗丰花园四期精装电梯三房,2016-12-20,穗丰花园四期,江汉,台北香港路,, 一至二环,300,22289,134.6,2003年建/板楼,3室2厅,高楼层/共27层,东南,其他,http://wh.lianjia.com/ershoufang/104100276497.html
1532,万科高尔夫城市花园，四期精装两房！,2016-12-20,万科高尔夫城市花园,东西湖,金银湖,, 三至四环,135,15169,89,2012年建/板楼,2室2厅,低楼层/共26层,东南,其他,http://wh.lianjia.com/ershoufang/104100276449.html
1533,天纵半岛蓝湾3室2厅120万,2016-12-20,天纵半岛蓝湾,东西湖,将军路,, 三至四环,120,10910,110,2016年建/板楼,3室2厅,高楼层/共33层,南北,平层/其他,http://wh.lianjia.com/ershoufang/104100276420.html
1534,越秀星汇云锦2室1厅275万,2016-12-20,越秀星汇云锦,硚口,宗关,, 一至二环,275,28866,95.27,2016年建/板楼,2室1厅,低楼层/共60层,南,平层/其他,http://wh.lianjia.com/ershoufang/104100276401.html
1535,此房离范湖地铁口500米，出行方便，配套齐全,2016-12-20,新世纪都市花园沁园春,江汉,西北湖,, 一至二环,220,20147,109.2,2004年建/板楼,3室2厅,高楼层/共17层,南,其他,http://wh.lianjia.com/ershoufang/104100276400.html
1536,松涛苑居家精装联排别墅，送院子露台，看房方便,2016-12-20,松涛苑E区,洪山,老南湖,, 一至二环,800,38542,207.57,1999年建,8室2厅,联排/共3层,南,其他,http://wh.lianjia.com/ershoufang/104100276391.html
1537,白沙洲四路毛坯两房中间楼层看房方便,2016-12-20,清能清江锦城二期,洪山,白沙洲,, 二至三环,110,12360,89,2015年建/板楼,2室1厅,中楼层/共34层,南北,毛坯,http://wh.lianjia.com/ershoufang/104100276387.html
1538,卧室有阳台简单装修中间楼层朝北,2016-12-20,SBI创业街,洪山,关山大道,, 二至三环,78,11632,67.06,2002年建/塔楼,1室1厅,中楼层/共22层,西北,其他,http://wh.lianjia.com/ershoufang/104100276372.html
1539,观澜高尔夫公馆南北通透精装修采光充足,2016-12-20,观澜高尔夫公馆,汉阳,四新,, 三至四环,120,13148,91.27,2013年建/板楼,3室2厅,中楼层/共34层,南北,其他,http://wh.lianjia.com/ershoufang/104100276343.html
1540,聚才南苑江大路与三眼桥路交汇处好楼层带露台,2016-12-20,聚才南苑,江岸,竹叶山花桥,, 一至二环,125,14158,88.29,2000年建/塔楼,2室2厅,低楼层/共8层,南,其他,http://wh.lianjia.com/ershoufang/104100276293.html
1541,南国大家装loft两居室精装修配套成熟看房方便,2016-12-20,南国大家装,硚口,宗关,, 二至三环,120,21819,55,2013年建/塔楼,2室1厅,中楼层/共19层,西南,其他,http://wh.lianjia.com/ershoufang/104100276263.html
1542,万景国际1室1厅130万,2016-12-20,万景国际,江汉,西北湖,, 一至二环,130,21667,60,2011年建/板塔结合,1室1厅,中楼层/共30层,东,其他,http://wh.lianjia.com/ershoufang/104100276207.html
1543,恒大首府4室2厅380万,2016-12-20,恒大首府,武昌,三层楼,, 二至三环,380,27143,140,2013年建/板塔结合,4室2厅,中楼层/共45层,南,其他,http://wh.lianjia.com/ershoufang/104100276188.html
1544,水晶郦都毛坯三房，满两年免增值税，中间楼层采光好。,2016-12-20,水晶郦都,江夏,光谷南,, 三至四环,145,13680,106,2015年建/板楼,3室2厅,低楼层/共28层,南北,其他,http://wh.lianjia.com/ershoufang/104100276176.html
1545,有租户可续租，租金可抵部分月供,2016-12-20,美联奥林匹克花园,东西湖,常青花园,, 三至四环,210,14125,148.68,2015年建/板楼,3室2厅,中楼层/共32层,南,简装,http://wh.lianjia.com/ershoufang/104100276155.html
1546,阅景国际大三方毛坯随意改变通风好采光好户型方正,2016-12-20,阅景国际,东西湖,金银湖,, 三至四环,138,11245,122.73,2015年建/板楼,3室2厅,高楼层/共26层,南,其他,http://wh.lianjia.com/ershoufang/104100276148.html
1547,房子纯毛坯，新证，楼层好，采光充足。,2016-12-20,幸福时代三期,江岸,百步亭,, 二至三环,175,21342,82,2015年建/塔楼,2室2厅,低楼层/共32层,南北,毛坯,http://wh.lianjia.com/ershoufang/104100276141.html
1548,江汉北路渣家小区2室1厅楼梯房南北通透,2016-12-20,渣家左路,江岸,台北香港路,, 一至二环,95.8,15221,62.94,1985年建/板楼,2室1厅,中楼层/共8层,东西,其他,http://wh.lianjia.com/ershoufang/104100276099.html
1549,古田四路紫薇花园三室两厅一厨两卫主卧朝南无遮挡,2016-12-20,紫薇花园,硚口,古田,, 二至三环,210,16651,126.12,2004年建/塔楼,3室2厅,低楼层/共6层,南北,其他,http://wh.lianjia.com/ershoufang/104100276038.html
1550,南国明珠精装3房南北通透老证,2016-12-20,南国明珠一期,汉阳,龙阳大道,, 二至三环,240,17519,137,2005年建/塔楼,3室2厅,中楼层/共11层,南北,其他,http://wh.lianjia.com/ershoufang/104100275991.html
1551,水岸星城3室2厅350万,2016-12-20,水岸星城,洪山,沙湖,, 二至三环,350,23702,147.67,2007年建/板楼,3室2厅,高楼层/共32层,南北,精装,http://wh.lianjia.com/ershoufang/104100275982.html
1552,张家湾小区3室2厅341万,2016-12-20,张家湾小区,武昌,水果湖,, 一至二环,341,26842,127.04,1994年建/板楼,3室2厅,低楼层/共8层,南北,其他,http://wh.lianjia.com/ershoufang/104100275947.html
1553,青年广场2室2厅168万,2016-12-20,青年广场,江汉,武广万松园,, 一至二环,168,15913,105.58,1996年建/塔楼,2室2厅,中楼层/共28层,北,其他,http://wh.lianjia.com/ershoufang/104100275933.html
1554,两湖官邸一房两厅望西北湖精装修,2016-12-20,两湖官邸,江汉,西北湖,, 一至二环,165,21740,75.9,2009年建/塔楼,1室1厅,高楼层/共23层,东南,其他,http://wh.lianjia.com/ershoufang/104100275930.html
1555,民航小区正规小三房户型好采光好,2016-12-20,民航小区,江汉,长港路,, 一至二环,107,11644,91.9,1996年建/板楼,3室2厅,高楼层/共7层,南,其他,http://wh.lianjia.com/ershoufang/104100275923.html
1556,百步亭怡康苑精装错层两房通透采光好两证满两年,2016-12-20,怡康苑南区,江岸,百步亭,, 二至三环,150,14322,104.74,2003年建/板楼,2室2厅,高楼层/共6层,南北,其他,http://wh.lianjia.com/ershoufang/104100275902.html
1557,德润大厦1室1厅100万,2016-12-20,德润大厦,江岸,前进江汉,, 一环内,100,22604,44.24,2004年建/塔楼,1室1厅,低楼层/共28层,南,其他,http://wh.lianjia.com/ershoufang/104100275871.html
1558,精装两房两证满两年无贷款诚心出售,2016-12-20,福星城北区,江汉,长港路,, 二至三环,160,17451,91.69,2012年建/板楼,2室1厅,低楼层/共45层,南,其他,http://wh.lianjia.com/ershoufang/104100275856.html
1559,卓悦假日酒店精装修大开间满2年地铁口,2016-12-20,卓悦假日酒店,洪山,体院虎泉,, ,60,13310,45.08,2008年建/板楼,1室0厅,中楼层/共22层,西,其他,http://wh.lianjia.com/ershoufang/104100275838.html
1560,毛坯少有正规两室一厅朝南户型双阳台,2016-12-20,君悦尚品,江岸,台北香港路,, 一至二环,200,21196,94.36,2007年建/塔楼,2室1厅,中楼层/共29层,东南,毛坯,http://wh.lianjia.com/ershoufang/104100275827.html
1561,江城华庭正规两居室价格180万,2016-12-20,江城华庭,江汉,武广万松园,, 一环内,180,23077,78,2003年建/塔楼,2室1厅,高楼层/共9层,南,其他,http://wh.lianjia.com/ershoufang/104100275798.html
1562,万科城大三房，楼层好，精装修，物业好,2016-12-20,万科城,江汉,常青路,, ,202,16768,120.47,2014年建/板楼,3室2厅,中楼层/共30层,北,其他,http://wh.lianjia.com/ershoufang/104100275789.html
1563,联投花山郡总高6层洋房依山伴水环境优雅交通便利,2016-12-20,联投花山郡住宅,洪山,洪山其它,, 三至四环,120,12891,93.09,2015年建/板楼,3室2厅,高楼层/共6层,南北,精装,http://wh.lianjia.com/ershoufang/104100275763.html
1564,橡树湾精装修两房业主诚心出售,2016-12-20,橡树湾一期,武昌,徐东,, 一至二环,260,27634,94.09,2013年建/板塔结合,2室2厅,中楼层/共33层,南,其他,http://wh.lianjia.com/ershoufang/104100275762.html
1565,新长江香榭琴台2室2厅134万,2016-12-20,新长江香榭琴台,汉阳,五里新村,, 一至二环,134,16928,79.16,2012年建/塔楼,2室2厅,高楼层/共18层,南北,其他,http://wh.lianjia.com/ershoufang/104100275761.html
1566,南北通透精装两房两证满两年免增值税,2016-12-20,常青花园十一小区,东西湖,常青花园,, 二至三环,168,17585,95.54,2007年建/板楼,2室2厅,高楼层/共6层,南北,精装,http://wh.lianjia.com/ershoufang/104100275694.html
1567,爱特城诚心出售53平精装一房,2016-12-20,爱特城,江汉,武广万松园,, 一至二环,138,26038,53,2016年建/板塔结合,1室1厅,高楼层/共30层,南,平层/其他,http://wh.lianjia.com/ershoufang/104100275637.html
1568,祥和苑4室3厅230万,2016-12-20,祥和苑,洪山,老南湖,, 一至二环,230,18040,127.5,1998年建/板楼,4室3厅,高楼层/共6层,南北,精装,http://wh.lianjia.com/ershoufang/104100275625.html
1569,玉龙岛花园一期5室2厅375万,2016-12-20,玉龙岛花园一期,江夏,江夏其它,, 三至四环,375,16446,228.03,未知年建,5室2厅,独栋/共2层,南北,精装,http://wh.lianjia.com/ershoufang/104100275573.html
1570,精装四房南北通透小区中间新证已办,2016-12-20,航天兴隆国际,东西湖,金银湖,, 三至四环,178,12022,148.07,2014年建/板楼,4室2厅,低楼层/共32层,南北,其他,http://wh.lianjia.com/ershoufang/104100275561.html
1571,水晶郦都3室2厅180万,2016-12-20,水晶郦都,江夏,光谷南,, 三至四环,180,14063,128,2015年建/板楼,3室2厅,低楼层/共28层,南北,其他,http://wh.lianjia.com/ershoufang/104100275521.html
1572,锦绣江南南北通透温馨大三居送10平入户中间楼层,2016-12-20,统建锦绣江南,武昌,中北路,, 一至二环,365,27633,132.09,2008年建/板楼,4室2厅,中楼层/共18层,南北,简装,http://wh.lianjia.com/ershoufang/104100275509.html
1573,两证满两年，居家精装修，南北通透三房，带车位出售,2016-12-20,米兰映象,洪山,鲁巷,, 二至三环,310,25465,121.74,2011年建/板楼,3室2厅,低楼层/共33层,南北,其他,http://wh.lianjia.com/ershoufang/104100275499.html
1574,秦园居小区3室1厅190万,2016-12-20,秦园居小区,洪山,徐家棚,, ,190,18628,102,2003年建/板塔结合,3室1厅,中楼层/共8层,南北,其他,http://wh.lianjia.com/ershoufang/104100275493.html
1575,东立国际老证高楼层居家装修朝南一室一厅！,2016-12-20,东立国际,江岸,二七,, 一至二环,88,18788,46.84,2007年建/塔楼,1室1厅,中楼层/共18层,南,其他,http://wh.lianjia.com/ershoufang/104100275490.html
1576,碧桂园海昌天澜3室2厅128万,2016-12-20,碧桂园海昌天澜,东西湖,将军路,, 三至四环,128,13349,95.89,2016年建/板楼,3室2厅,中楼层/共33层,南北,其他,http://wh.lianjia.com/ershoufang/104100275480.html
1577,此房已办证，不满二，赠送8平面积，居家两居；,2016-12-19,保利心语七期,洪山,珞狮南路,, 二至三环,110,16859,65.25,2013年建/板塔结合,2室2厅,低楼层/共32层,南,精装,http://wh.lianjia.com/ershoufang/104100275449.html
1578,福星惠誉国际城二期正友谊大道温馨小两房,2016-12-19,福星惠誉紫岭公寓,洪山,徐东,, 二至三环,125,23149,54,2012年建/板塔结合,2室1厅,高楼层/共29层,南,简装,http://wh.lianjia.com/ershoufang/104100275411.html
1579,融侨华府精装小户型两证齐全，带天然气明厨明卫。,2016-12-19,融侨华府,武昌,三层楼,, 一环内,135,26311,51.31,2009年建/板楼,1室1厅,低楼层/共33层,南,其他,http://wh.lianjia.com/ershoufang/104100275399.html
1580,纯毛坯让你随意发挥装修想想空间户型方正采光好,2016-12-19,红旗公寓,江汉,长港路,, 一至二环,123,15033,81.82,1999年建/板楼,2室2厅,中楼层/共11层,南,其他,http://wh.lianjia.com/ershoufang/104100275385.html
1581,加州阳光，光谷步行街四房，闹中取静，满两年免增值税,2016-12-19,加州阳光,洪山,鲁巷,, 二至三环,280,19137,146.32,2010年建/板楼,4室2厅,低楼层/共32层,南,其他,http://wh.lianjia.com/ershoufang/104100275364.html
1582,常安佳苑2室2厅128万,2016-12-19,常安佳苑,东西湖,金银湖,, 三至四环,128,13200,96.97,2007年建/板楼,2室2厅,中楼层/共8层,南,其他,http://wh.lianjia.com/ershoufang/104100275350.html
1583,葛洲坝国际广场电梯两房范湖地铁口,2016-12-19,葛洲坝国际广场,江汉,西北湖,, 一至二环,216,21596,100.02,2012年建/板楼,2室2厅,中楼层/共32层,南,其他,http://wh.lianjia.com/ershoufang/104100275295.html
1584,地铁6号线旁世茂四期经典复式南北通透毛坯大两房,2016-12-19,世茂锦绣长江四期,汉阳,鹦鹉大道,, 一环内,185,18388,100.61,2015年建/板楼,2室1厅,中楼层/共32层,南北,毛坯,http://wh.lianjia.com/ershoufang/104100275290.html
1585,锦绣龙城2房出售，满2年无增值税，看房方便。,2016-12-19,锦绣龙城,洪山,中南财大,, 二至三环,120,15095,79.5,2009年建/塔楼,2室2厅,中楼层/共33层,南,其他,http://wh.lianjia.com/ershoufang/104100275264.html
1586,外滩棕榈泉精装朝南三房房东诚信出售,2016-12-19,外滩棕榈泉,江岸,三阳路,, 二至三环,423,30000,141,2006年建/塔楼,3室2厅,中楼层/共30层,东南,其他,http://wh.lianjia.com/ershoufang/104100275174.html
1587,明泽丽湾精装三房满两年中间楼层采光好业主诚售,2016-12-19,明泽丽湾,洪山,珞狮南路,, ,180,15317,117.52,2005年建/塔楼,3室2厅,高楼层/共24层,南,其他,http://wh.lianjia.com/ershoufang/104100275170.html
1588,三面采光户型大气明厨明卫风景宜人后期费少,2016-12-19,枫丹白鹭,江岸,解放公园,, 一至二环,877,24986,351,2004年建/塔楼,5室2厅,高楼层/共23层,南,其他,http://wh.lianjia.com/ershoufang/104100275146.html
